id,open_price,high_price,low_price,close_price,volume,stock_id,observation_date
1,49.87,50.16,47.84,48.58,31604,9,2018-12-10 00:00:00
2,49.48,50.33,49.48,50.03,65600,9,2018-12-07 00:00:00
3,50.15,50.31,49.05,49.31,67800,9,2018-12-06 00:00:00
4,50.51,50.79,49.89,50.18,33400,9,2018-12-05 00:00:00
5,53.54,53.54,50.12,50.52,70100,9,2018-12-04 00:00:00
6,54.44,54.44,53.34,53.63,18400,9,2018-12-03 00:00:00
7,53.5,54.08,53.2,53.89,31200,9,2018-11-30 00:00:00
8,53.44,54.04,53.04,53.62,25100,9,2018-11-29 00:00:00
9,53.38,53.62,53.18,53.51,60500,9,2018-11-28 00:00:00
10,53.93,54.36,52.94,53.19,38700,9,2018-11-27 00:00:00
11,54.31,54.31,53.37,53.9,51800,9,2018-11-26 00:00:00
12,52.9,54.16,52.9,54.16,21600,9,2018-11-23 00:00:00
13,53.2,53.28,52.59,53.07,11500,9,2018-11-22 00:00:00
14,53.45,53.97,52.99,53.11,38600,9,2018-11-21 00:00:00
15,53.92,54.06,52.71,53.38,40800,9,2018-11-20 00:00:00
16,53.01,54.34,53.01,54.2,44100,9,2018-11-19 00:00:00
17,54.14,54.3,52.99,53.31,64800,9,2018-11-16 00:00:00
18,54.13,54.7,53.5,54.28,88400,9,2018-11-15 00:00:00
19,56.94,57.01,54.07,54.28,122700,9,2018-11-14 00:00:00
20,56.97,57.55,56.65,56.81,36700,9,2018-11-13 00:00:00
21,57.88,57.88,56.59,57.24,40700,9,2018-11-12 00:00:00
22,59.7,59.7,57.36,57.8,107400,9,2018-11-09 00:00:00
23,60.2,61.12,59.62,60.02,126700,9,2018-11-08 00:00:00
24,60.89,60.89,58.28,60.17,120200,9,2018-11-07 00:00:00
25,60.71,61.55,60.71,61.49,72600,9,2018-11-06 00:00:00
26,59.67,60.74,59.61,60.73,47000,9,2018-11-05 00:00:00
27,59.96,60.22,59.18,59.67,30300,9,2018-11-02 00:00:00
28,58.98,60.01,58.77,59.9,87000,9,2018-11-01 00:00:00
29,58.29,59.1,58,58.77,63700,9,2018-10-31 00:00:00
30,57.04,58.33,57,58.05,113300,9,2018-10-30 00:00:00
31,57.53,58.25,57,57.42,66300,9,2018-10-29 00:00:00
32,55.77,57.4,55.77,57.13,53500,9,2018-10-26 00:00:00
33,57.28,58.39,55.24,56.02,131700,9,2018-10-25 00:00:00
34,58.36,58.99,56.93,57,43100,9,2018-10-24 00:00:00
35,59.14,59.21,58,58.36,46500,9,2018-10-23 00:00:00
36,59.6,60.33,59.07,59.58,41400,9,2018-10-22 00:00:00
37,60.14,60.52,59.22,59.49,32700,9,2018-10-19 00:00:00
38,60.27,60.34,59.23,60,34600,9,2018-10-18 00:00:00
39,59.98,60.52,59.46,60.34,86400,9,2018-10-17 00:00:00
40,59.75,60.4,59.28,60.04,89800,9,2018-10-16 00:00:00
41,59.78,60.09,59.12,59.69,32700,9,2018-10-15 00:00:00
42,59.17,60.02,58.85,59.57,134900,9,2018-10-12 00:00:00
43,58.3,59.04,58.15,58.59,69600,9,2018-10-11 00:00:00
44,60.64,60.64,58,58.41,82300,9,2018-10-10 00:00:00
45,61.3,61.3,60.71,60.79,23100,9,2018-10-09 00:00:00
46,60.73,61.47,60.73,61.28,61100,9,2018-10-05 00:00:00
47,61,61.44,60.55,60.83,200800,9,2018-10-04 00:00:00
48,64.2,64.66,63.21,63.4,18800,9,2018-10-03 00:00:00
49,63.98,64.69,63.08,63.99,47900,9,2018-10-02 00:00:00
50,63.04,64.72,63.04,63.72,60000,9,2018-10-01 00:00:00
51,62.23,63.25,62.13,62.94,22200,9,2018-09-28 00:00:00
52,61.97,62.54,61.9,62.26,8400,9,2018-09-27 00:00:00
53,61.92,62.34,61.19,62.09,18800,9,2018-09-26 00:00:00
54,62.14,62.59,61.43,62.06,26600,9,2018-09-25 00:00:00
55,63.01,63.15,61.44,62.03,30400,9,2018-09-24 00:00:00
56,62.06,62.86,61.59,62.86,52300,9,2018-09-21 00:00:00
57,62.16,62.53,61.69,62.01,22900,9,2018-09-20 00:00:00
58,62.01,62.45,61.14,62.14,21800,9,2018-09-19 00:00:00
