id,open_price,high_price,low_price,close_price,volume,stock_id,observation_date
301,113.51,114.9,110.38,111.83,40809,2,2018-12-10 00:00:00
302,114.97,116.46,113.34,113.8,39358,2,2018-12-07 00:00:00
303,114.75,116.53,113.19,114.96,45706,2,2018-12-06 00:00:00
304,117.33,117.8,115.56,116.75,42202,2,2018-12-05 00:00:00
305,118.22,120.01,115.44,117.2,103027,2,2018-12-04 00:00:00
306,115.97,121.21,114.17,118.78,83073,2,2018-12-03 00:00:00
307,113.99,115.38,113.87,114.88,23456,2,2018-11-30 00:00:00
308,114.51,115.9,113.13,114.33,31366,2,2018-11-29 00:00:00
309,109.7,115.4,109.7,114.87,172480,2,2018-11-28 00:00:00
310,107,110.05,107,109.63,37910,2,2018-11-27 00:00:00
311,106.4,107.71,106.23,107.13,56191,2,2018-11-26 00:00:00
312,105.9,108.38,105.62,105.91,33572,2,2018-11-23 00:00:00
313,107.39,108.75,105.52,106.33,20682,2,2018-11-22 00:00:00
314,105.31,108.73,105.31,107.44,163637,2,2018-11-21 00:00:00
315,105.08,106.39,103.25,105.11,62167,2,2018-11-20 00:00:00
316,109.11,109.95,105.1,106.18,110301,2,2018-11-19 00:00:00
317,113.96,114.88,109.59,109.63,61064,2,2018-11-16 00:00:00
318,111.8,115.52,109.21,114.95,121552,2,2018-11-15 00:00:00
319,109.15,120,109.15,111.77,213044,2,2018-11-14 00:00:00
320,110.09,110.09,102.59,106.86,232198,2,2018-11-13 00:00:00
321,114.94,115.25,109.36,110.04,108644,2,2018-11-12 00:00:00
322,116.9,117.8,114.625,114.97,107147,2,2018-11-09 00:00:00
323,117.3,117.5,116.78,117.24,29582,2,2018-11-08 00:00:00
324,117.24,118.15,116.99,117.29,33270,2,2018-11-07 00:00:00
325,115.99,117.44,115.66,116.81,54732,2,2018-11-06 00:00:00
326,118.51,118.51,114.73,115.78,81075,2,2018-11-05 00:00:00
327,124.4,124.4,118.58,118.6,62694,2,2018-11-02 00:00:00
328,120.49,121.25,119.27,120.71,50779,2,2018-11-01 00:00:00
329,120.73,121.45,119.73,120.31,59623,2,2018-10-31 00:00:00
330,117.88,119.93,117.48,119.53,48431,2,2018-10-30 00:00:00
331,119.9,121.5,116.55,117.94,56131,2,2018-10-29 00:00:00
332,119.08,119.485,117.19,119.34,44379,2,2018-10-26 00:00:00
333,117.01,120.04,117.01,119.6,72161,2,2018-10-25 00:00:00
334,122.02,123,116.47,116.71,86597,2,2018-10-24 00:00:00
335,121.99,122.45,120.15,121.51,53187,2,2018-10-23 00:00:00
336,124.75,124.95,122.45,122.86,55968,2,2018-10-22 00:00:00
337,123.89,125.32,123.75,124.27,79335,2,2018-10-19 00:00:00
338,125.23,125.23,122.74,123.19,39781,2,2018-10-18 00:00:00
