id,open_price,high_price,low_price,close_price,volume,stock_id,observation_date
801,29.05,29.23,26.87,27.01,318089,8,2018-12-10 00:00:00
802,29.29,29.51,29,29.02,112500,8,2018-12-07 00:00:00
803,29.69,29.69,29.26,29.3,139800,8,2018-12-06 00:00:00
804,30.32,30.32,29.66,29.67,126900,8,2018-12-05 00:00:00
805,30.98,30.98,30.2,30.27,71000,8,2018-12-04 00:00:00
806,31.3,31.48,30.45,30.99,67300,8,2018-12-03 00:00:00
807,31.25,31.29,30.58,31.09,53600,8,2018-11-30 00:00:00
808,31.39,31.47,31.09,31.22,30800,8,2018-11-29 00:00:00
809,30.92,31.4,30.8,31.31,54300,8,2018-11-28 00:00:00
810,30.94,30.95,30.62,30.85,63000,8,2018-11-27 00:00:00
811,30.77,30.99,30.5,30.92,91000,8,2018-11-26 00:00:00
812,30.41,30.8,30.4,30.77,49900,8,2018-11-23 00:00:00
813,30.89,30.89,30.19,30.4,37700,8,2018-11-22 00:00:00
814,30.49,30.97,30.17,30.34,115000,8,2018-11-21 00:00:00
815,31.07,31.07,29.64,30.17,200500,8,2018-11-20 00:00:00
816,31.73,31.81,31,31.14,113300,8,2018-11-19 00:00:00
817,32.35,32.35,31.51,31.78,57100,8,2018-11-16 00:00:00
818,32.75,32.78,32.07,32.22,116000,8,2018-11-15 00:00:00
819,32.97,33.47,31.97,32.85,128000,8,2018-11-14 00:00:00
820,33.36,33.77,32.92,33.17,96000,8,2018-11-13 00:00:00
821,33.53,33.53,32.76,33.29,145000,8,2018-11-12 00:00:00
822,32.47,33.68,31.72,33.67,315000,8,2018-11-09 00:00:00
823,31.96,32.24,31.34,31.48,103000,8,2018-11-08 00:00:00
824,31.93,32.4,31.55,31.96,66600,8,2018-11-07 00:00:00
825,31.59,31.97,31.22,31.89,68700,8,2018-11-06 00:00:00
826,31.24,31.73,31.15,31.57,26500,8,2018-11-05 00:00:00
827,31.46,31.79,30.91,31.35,58200,8,2018-11-02 00:00:00
828,30.52,31.52,30.3,31.39,96700,8,2018-11-01 00:00:00
829,30.7,30.82,30.15,30.22,83600,8,2018-10-31 00:00:00
830,30.65,31.1,30.3,30.38,63800,8,2018-10-30 00:00:00
831,31.32,31.84,30.44,30.69,85400,8,2018-10-29 00:00:00
832,30.73,31.19,30.4,31.09,66900,8,2018-10-26 00:00:00
833,30.65,31.06,30.29,30.49,86200,8,2018-10-25 00:00:00
834,31.24,31.24,30.38,30.54,75500,8,2018-10-24 00:00:00
835,30.5,31.55,30.03,31.07,91200,8,2018-10-23 00:00:00
836,30.71,30.86,30.12,30.55,61800,8,2018-10-22 00:00:00
837,31.35,31.51,30.68,30.7,62200,8,2018-10-19 00:00:00
838,31.46,31.65,30.5,31.32,85300,8,2018-10-18 00:00:00
839,30.46,31.43,30.16,31.43,136300,8,2018-10-17 00:00:00
840,30.53,30.56,29.77,30.09,81300,8,2018-10-16 00:00:00
841,30.47,30.51,29.56,30.31,52100,8,2018-10-15 00:00:00
842,29.63,30.15,29.38,29.78,127200,8,2018-10-12 00:00:00
843,29.61,30.04,29.15,29.32,159400,8,2018-10-11 00:00:00
844,30.8,31.3,29.52,29.66,255300,8,2018-10-10 00:00:00
845,31.3,31.59,30.54,30.68,147700,8,2018-10-09 00:00:00
846,31.45,31.5,31.05,31.3,68000,8,2018-10-05 00:00:00
847,31.4,31.5,31.21,31.47,71900,8,2018-10-04 00:00:00
848,31.75,31.75,31.2,31.49,136400,8,2018-10-03 00:00:00
849,32.36,32.43,31.35,31.5,85100,8,2018-10-02 00:00:00
850,33.28,33.28,32.25,32.41,48200,8,2018-10-01 00:00:00
851,32.84,33.37,32.77,33.07,50400,8,2018-09-28 00:00:00
852,32.65,33.11,32.65,32.79,49700,8,2018-09-27 00:00:00
853,32.79,33.25,32.71,32.75,82800,8,2018-09-26 00:00:00
854,33.4,33.45,32.58,32.74,101700,8,2018-09-25 00:00:00
855,33.84,33.84,32.92,33.35,110400,8,2018-09-24 00:00:00
856,33.92,34,33.71,33.86,60100,8,2018-09-21 00:00:00
857,34.07,34.4,33.93,33.93,98800,8,2018-09-20 00:00:00
858,33.78,34.25,33.58,34,62500,8,2018-09-19 00:00:00
859,33.87,34.1,33.4,33.83,68500,8,2018-09-18 00:00:00
860,32.9,34,32.9,33.86,144300,8,2018-09-17 00:00:00
861,32.52,32.94,32.3,32.88,19200,8,2018-09-14 00:00:00
862,32.72,32.88,32.36,32.57,44400,8,2018-09-13 00:00:00
863,32.34,32.79,32.06,32.58,73700,8,2018-09-12 00:00:00
864,31.78,32.44,31.71,32.33,34100,8,2018-09-11 00:00:00
865,32.04,32.04,31.6,31.73,70600,8,2018-09-10 00:00:00
866,31.9,31.97,31.57,31.79,28300,8,2018-09-07 00:00:00
867,31.76,32.02,31.55,31.89,47700,8,2018-09-06 00:00:00
868,31.79,31.94,31.2,31.83,75700,8,2018-09-05 00:00:00
869,32.42,32.42,31.11,31.74,77600,8,2018-09-04 00:00:00
870,32.74,32.85,32.07,32.33,105700,8,2018-08-31 00:00:00
871,32.61,33.02,32.56,32.86,42200,8,2018-08-30 00:00:00
872,32.95,32.95,32.62,32.69,76300,8,2018-08-29 00:00:00
873,33.12,33.25,32.85,33,56900,8,2018-08-28 00:00:00
874,32.99,33.28,32.91,33.07,44800,8,2018-08-27 00:00:00
875,33.25,33.25,32.67,32.9,66100,8,2018-08-24 00:00:00
876,33.23,33.37,32.95,32.96,24500,8,2018-08-23 00:00:00
877,33.65,33.65,32.99,33.1,66500,8,2018-08-22 00:00:00
878,33.24,33.95,33.07,33.49,58900,8,2018-08-21 00:00:00
879,32.91,33.17,32.57,33.02,86500,8,2018-08-20 00:00:00
880,33.67,33.67,32.52,32.73,76400,8,2018-08-17 00:00:00
881,33,33.57,32.62,33.29,65500,8,2018-08-16 00:00:00
882,32.29,32.93,31.82,32.81,77200,8,2018-08-15 00:00:00
883,32.73,32.86,32.26,32.37,63600,8,2018-08-14 00:00:00
884,32.55,32.92,32.11,32.6,91000,8,2018-08-13 00:00:00
885,33.07,33.29,32.51,32.6,132600,8,2018-08-10 00:00:00
886,35.05,35.18,32.68,32.89,276200,8,2018-08-09 00:00:00
887,33.98,35.02,33.98,34.86,70100,8,2018-08-08 00:00:00
888,34.6,35.34,33.77,34,116700,8,2018-08-07 00:00:00
889,34.01,34.6,33.94,34.54,54800,8,2018-08-03 00:00:00
890,33.74,34.07,33.38,33.98,51700,8,2018-08-02 00:00:00
891,33.25,33.88,33,33.69,81600,8,2018-08-01 00:00:00
892,32.98,33.39,32.51,33.25,47600,8,2018-07-31 00:00:00
893,33.24,33.24,32.78,32.94,21000,8,2018-07-30 00:00:00
894,32.73,33.25,32.62,33.25,42700,8,2018-07-27 00:00:00
895,32.45,32.95,32.45,32.6,61500,8,2018-07-26 00:00:00
896,32.26,32.78,32.26,32.46,33500,8,2018-07-25 00:00:00
897,32.27,32.83,32.16,32.19,43500,8,2018-07-24 00:00:00
898,32.3,32.4,32.07,32.14,25000,8,2018-07-23 00:00:00
899,32.66,32.66,32.06,32.1,58200,8,2018-07-20 00:00:00
900,33.01,33.01,32.4,32.61,70900,8,2018-07-19 00:00:00
