id,open_price,high_price,low_price,close_price,volume,stock_id,observation_date
401,33.59,33.8,33.1,33.59,933752,4,2018-12-10 00:00:00
402,33.99,34.02,33.49,33.49,776300,4,2018-12-07 00:00:00
403,34.26,34.34,32.98,33.93,460800,4,2018-12-06 00:00:00
404,34.62,35.13,34.45,34.56,190900,4,2018-12-05 00:00:00
405,34.68,34.73,34.36,34.65,386300,4,2018-12-04 00:00:00
406,34.26,34.84,34.19,34.84,328800,4,2018-12-03 00:00:00
407,33.88,34.19,33.49,34.08,454900,4,2018-11-30 00:00:00
408,33.46,34.03,33.46,33.92,296400,4,2018-11-29 00:00:00
409,32.81,33.57,32.81,33.57,218700,4,2018-11-28 00:00:00
410,32.91,33.1,32.59,32.79,177400,4,2018-11-27 00:00:00
411,33.39,33.62,32.88,32.92,182000,4,2018-11-26 00:00:00
412,33.32,33.48,33.03,33.18,81900,4,2018-11-23 00:00:00
413,33.44,33.84,33.42,33.49,80500,4,2018-11-22 00:00:00
414,33.06,33.6,33,33.32,234600,4,2018-11-21 00:00:00
415,33.19,33.19,32.58,32.89,170000,4,2018-11-20 00:00:00
416,33.31,33.74,33.28,33.4,170000,4,2018-11-19 00:00:00
417,33.58,33.69,33.19,33.32,282300,4,2018-11-16 00:00:00
418,33.72,33.98,33.67,33.78,202600,4,2018-11-15 00:00:00
419,33.76,34.6,33.72,33.98,210900,4,2018-11-14 00:00:00
420,33.9,34.11,33.63,33.8,239700,4,2018-11-13 00:00:00
421,34.15,34.16,33.83,33.9,157600,4,2018-11-12 00:00:00
422,33.96,34.22,33.67,34.21,581000,4,2018-11-09 00:00:00
423,33.93,34.34,33.61,34.14,205500,4,2018-11-08 00:00:00
424,34.37,34.38,33.73,33.96,193600,4,2018-11-07 00:00:00
425,34.48,34.5,33.79,34.24,208000,4,2018-11-06 00:00:00
426,33.95,34.63,33.8,34.55,310600,4,2018-11-05 00:00:00
427,33.36,33.8,32.96,33.79,510900,4,2018-11-02 00:00:00
428,32.37,32.93,32.34,32.85,301800,4,2018-11-01 00:00:00
429,32.44,32.49,32.14,32.33,249500,4,2018-10-31 00:00:00
430,31.95,32.23,31.91,32.19,219600,4,2018-10-30 00:00:00
431,32.76,32.76,31.96,32,1139000,4,2018-10-29 00:00:00
432,31.84,32.15,31.54,31.92,392400,4,2018-10-26 00:00:00
433,32.1,32.54,31.58,32.1,1258000,4,2018-10-25 00:00:00
434,32.35,32.55,31.81,31.9,331900,4,2018-10-24 00:00:00
435,31.98,32.56,31.81,32.32,166300,4,2018-10-23 00:00:00
436,32.2,32.38,31.78,32.35,199500,4,2018-10-22 00:00:00
437,31.98,32.56,31.96,32.16,362200,4,2018-10-19 00:00:00
438,32.79,32.8,31.84,31.86,268200,4,2018-10-18 00:00:00
439,33.12,33.25,32.59,32.85,218400,4,2018-10-17 00:00:00
440,32.56,33.12,32.3,33.07,170500,4,2018-10-16 00:00:00
441,32.64,32.71,32.12,32.37,196500,4,2018-10-15 00:00:00
442,32.51,32.85,32.47,32.62,350600,4,2018-10-12 00:00:00
443,32.65,32.92,32.21,32.22,520500,4,2018-10-11 00:00:00
444,33.96,33.97,33,33.02,197300,4,2018-10-10 00:00:00
445,34.06,34.4,33.79,34.03,251800,4,2018-10-09 00:00:00
446,34.96,35.02,34.2,34.29,203800,4,2018-10-05 00:00:00
447,34.96,35.09,34.75,35.09,121000,4,2018-10-04 00:00:00
448,35.4,35.45,34.85,34.98,134400,4,2018-10-03 00:00:00
449,35.52,35.57,35.18,35.31,106900,4,2018-10-02 00:00:00
450,35.65,35.86,35.5,35.55,127200,4,2018-10-01 00:00:00
451,35.29,35.61,35.12,35.5,275700,4,2018-09-28 00:00:00
452,35.61,35.74,35.27,35.31,257400,4,2018-09-27 00:00:00
453,36.01,36.25,35.82,35.97,316200,4,2018-09-26 00:00:00
454,36.29,36.29,35.84,35.97,150000,4,2018-09-25 00:00:00
455,35.93,36.39,35.91,36.22,213300,4,2018-09-24 00:00:00
456,36.22,36.5,35.67,35.88,1263900,4,2018-09-21 00:00:00
457,36.08,36.41,35.95,35.96,145400,4,2018-09-20 00:00:00
458,36.15,36.55,35.94,35.99,211800,4,2018-09-19 00:00:00
459,36,36.1,35.84,36.1,79500,4,2018-09-18 00:00:00
460,35.65,36.05,35.56,35.95,131600,4,2018-09-17 00:00:00
461,35.56,35.9,35.39,35.63,170600,4,2018-09-14 00:00:00
462,35.59,35.72,35.43,35.56,104200,4,2018-09-13 00:00:00
463,35.81,35.83,35.42,35.49,147100,4,2018-09-12 00:00:00
464,35.97,36.03,35.39,35.76,140400,4,2018-09-11 00:00:00
465,36.04,36.13,35.75,36.06,262900,4,2018-09-10 00:00:00
466,35.68,36.27,35.64,35.96,684600,4,2018-09-07 00:00:00
467,35.99,36.14,35.5,35.79,261500,4,2018-09-06 00:00:00
468,36.17,36.23,35.84,36,395100,4,2018-09-05 00:00:00
469,36.37,36.44,35.87,36.24,251100,4,2018-09-04 00:00:00
470,36.8,36.99,36.4,36.41,315300,4,2018-08-31 00:00:00
471,36.89,37.14,36.77,36.9,223900,4,2018-08-30 00:00:00
472,37.13,37.28,36.89,36.89,183300,4,2018-08-29 00:00:00
473,37.24,37.57,37.02,37.13,192000,4,2018-08-28 00:00:00
474,37,37.42,36.98,37.24,155400,4,2018-08-27 00:00:00
475,36.95,37.32,36.82,36.85,149000,4,2018-08-24 00:00:00
476,37.86,37.9,36.89,36.99,424800,4,2018-08-23 00:00:00
477,37.95,38.1,37.78,37.86,173100,4,2018-08-22 00:00:00
478,37.94,38.16,37.83,38.02,149600,4,2018-08-21 00:00:00
479,38.29,38.69,37.81,37.89,269000,4,2018-08-20 00:00:00
480,38.2,38.4,38.05,38.33,142300,4,2018-08-17 00:00:00
481,38.02,38.3,38.02,38.15,98300,4,2018-08-16 00:00:00
482,37.41,38.05,37.29,37.97,241800,4,2018-08-15 00:00:00
483,37.4,37.79,37.37,37.65,183900,4,2018-08-14 00:00:00
484,37.35,37.6,37.18,37.29,99400,4,2018-08-13 00:00:00
485,37.79,37.79,37.14,37.36,213800,4,2018-08-10 00:00:00
486,37.85,37.98,37.45,37.9,217300,4,2018-08-09 00:00:00
487,37.96,38.04,37.8,37.85,183300,4,2018-08-08 00:00:00
488,38.34,38.55,37.84,37.96,414300,4,2018-08-07 00:00:00
489,37.85,38.63,37.85,38.28,217400,4,2018-08-03 00:00:00
490,39.42,39.44,37.69,37.96,394100,4,2018-08-02 00:00:00
