id,open_price,high_price,low_price,close_price,volume,stock_id,observation_date
601,34.5,34.5,32.95,33.88,590920,6,2018-12-10 00:00:00
602,35.55,35.56,34.5,34.59,444200,6,2018-12-07 00:00:00
603,36.12,36.14,35.18,35.48,750800,6,2018-12-06 00:00:00
604,36.28,37.04,36.02,36.35,242900,6,2018-12-05 00:00:00
605,37.3,37.57,35.64,36.18,759600,6,2018-12-04 00:00:00
606,38.21,38.42,37.18,37.36,448300,6,2018-12-03 00:00:00
607,37.3,38.12,37.3,37.8,341900,6,2018-11-30 00:00:00
608,37.85,37.99,37.3,37.42,245200,6,2018-11-29 00:00:00
609,37.34,38.17,37.34,37.99,230100,6,2018-11-28 00:00:00
610,37.77,38.39,37.28,37.35,245100,6,2018-11-27 00:00:00
611,38.12,39,37.75,37.9,276000,6,2018-11-26 00:00:00
612,37.99,38.29,37.79,38.01,125000,6,2018-11-23 00:00:00
613,37.99,38.38,37.99,38.16,98100,6,2018-11-22 00:00:00
614,38.02,38.54,37.72,37.95,353000,6,2018-11-21 00:00:00
615,37.81,38.83,37.64,37.91,249300,6,2018-11-20 00:00:00
616,37.9,38.66,37.8,37.92,221500,6,2018-11-19 00:00:00
617,36.9,38.21,36.85,37.84,214700,6,2018-11-16 00:00:00
618,36.99,37.31,36.66,37.01,270800,6,2018-11-15 00:00:00
619,36.81,37.5,35.89,37.06,485300,6,2018-11-14 00:00:00
620,38.8,39,36.25,36.74,982000,6,2018-11-13 00:00:00
621,41.19,41.66,38.62,38.8,452700,6,2018-11-12 00:00:00
622,40.83,41.65,40.25,41.26,368000,6,2018-11-09 00:00:00
623,39.21,42.16,38.9,41.1,719200,6,2018-11-08 00:00:00
624,44.03,44.03,38.59,39.09,1019300,6,2018-11-07 00:00:00
625,45.6,46.08,44.77,45,176400,6,2018-11-06 00:00:00
626,43.91,45.65,43.91,45.43,234700,6,2018-11-05 00:00:00
627,44.31,44.82,43.41,43.96,192900,6,2018-11-02 00:00:00
628,44.55,44.75,44,44.13,153700,6,2018-11-01 00:00:00
629,44.97,45.55,44.38,44.41,162200,6,2018-10-31 00:00:00
630,44.76,45.28,44.35,44.76,152800,6,2018-10-30 00:00:00
631,45.4,46.42,44.47,44.73,156700,6,2018-10-29 00:00:00
632,43.8,45.36,43.29,45.25,252200,6,2018-10-26 00:00:00
633,44.19,44.5,43.37,44.09,231100,6,2018-10-25 00:00:00
634,44.86,45.2,44.01,44.09,281300,6,2018-10-24 00:00:00
635,43.8,44.9,43.35,44.74,203300,6,2018-10-23 00:00:00
636,44.5,44.5,43.8,44.3,173200,6,2018-10-22 00:00:00
637,44.36,44.79,44.08,44.42,289300,6,2018-10-19 00:00:00
638,44.75,44.76,43.75,44.34,302600,6,2018-10-18 00:00:00
639,45.58,45.66,44.25,44.93,315500,6,2018-10-17 00:00:00
640,46.4,46.42,45.55,45.75,311400,6,2018-10-16 00:00:00
641,46.05,46.45,45.63,46.38,268700,6,2018-10-15 00:00:00
642,45.26,46.06,45.2,46.02,341900,6,2018-10-12 00:00:00
643,44.76,45.64,44.45,44.7,288800,6,2018-10-11 00:00:00
644,46.87,46.87,44.63,45.41,330500,6,2018-10-10 00:00:00
645,47.97,48.23,46.59,46.97,251800,6,2018-10-09 00:00:00
646,48.2,48.42,48.03,48.09,108000,6,2018-10-05 00:00:00
647,48.58,48.65,47.94,48.45,856200,6,2018-10-04 00:00:00
648,49.1,49.32,48.59,48.68,565500,6,2018-10-03 00:00:00
649,49.96,49.96,49,49.14,182200,6,2018-10-02 00:00:00
650,51.1,52.1,49.77,50,225600,6,2018-10-01 00:00:00
651,50.76,50.76,50.06,50.27,123700,6,2018-09-28 00:00:00
652,51.49,51.49,50.16,50.87,163600,6,2018-09-27 00:00:00
653,51.94,51.94,51.61,51.73,205000,6,2018-09-26 00:00:00
654,52.02,52.27,51.92,52.01,112700,6,2018-09-25 00:00:00
655,51.92,52.12,51.67,52.05,193700,6,2018-09-24 00:00:00
656,51.92,52.04,51.67,52,231200,6,2018-09-21 00:00:00
657,51.7,52.13,51.7,52,128800,6,2018-09-20 00:00:00
658,51.79,52.35,51.67,51.76,117000,6,2018-09-19 00:00:00
659,51.57,51.98,51.42,51.79,93600,6,2018-09-18 00:00:00
660,51.29,51.87,51.29,51.55,100500,6,2018-09-17 00:00:00
661,51.21,51.84,51.21,51.37,74000,6,2018-09-14 00:00:00
662,51.41,51.59,50.91,51.26,77000,6,2018-09-13 00:00:00
663,51.44,51.83,51.28,51.37,255700,6,2018-09-12 00:00:00
