id,open_price,high_price,low_price,close_price,volume,stock_id,observation_date
701,29.1,29.1,28.54,28.56,107878,7,2018-12-10 00:00:00
702,29.35,29.41,28.99,29.07,115000,7,2018-12-07 00:00:00
703,29.07,29.43,28.75,29.3,95800,7,2018-12-06 00:00:00
704,29.42,29.46,28.85,29.13,49900,7,2018-12-05 00:00:00
705,29.29,29.85,29.25,29.35,105600,7,2018-12-04 00:00:00
706,29.29,29.44,28.81,29.3,76200,7,2018-12-03 00:00:00
707,29.39,29.6,28.88,29.44,131400,7,2018-11-30 00:00:00
708,29.2,29.62,29.13,29.39,83800,7,2018-11-29 00:00:00
709,29.17,29.4,29.05,29.16,82700,7,2018-11-28 00:00:00
710,29.18,29.3,28.54,29.13,110500,7,2018-11-27 00:00:00
711,29.73,29.75,29.18,29.21,44900,7,2018-11-26 00:00:00
712,29.64,29.8,29.54,29.72,32500,7,2018-11-23 00:00:00
713,29.81,29.98,29.49,29.7,30900,7,2018-11-22 00:00:00
714,29.67,30.21,29.59,29.87,133600,7,2018-11-21 00:00:00
715,29.78,29.82,29.59,29.64,36500,7,2018-11-20 00:00:00
716,29.76,30.15,29.74,29.87,49400,7,2018-11-19 00:00:00
717,29.69,29.98,29.69,29.8,63500,7,2018-11-16 00:00:00
718,29.81,29.95,29.65,29.71,75900,7,2018-11-15 00:00:00
719,30.07,30.2,29.73,29.8,56300,7,2018-11-14 00:00:00
720,30.03,30.24,29.77,30.1,135200,7,2018-11-13 00:00:00
721,29.98,30.4,29.98,30.24,47000,7,2018-11-12 00:00:00
722,29.84,30.03,29.82,29.97,88100,7,2018-11-09 00:00:00
723,30.12,30.12,29.85,29.92,122600,7,2018-11-08 00:00:00
724,30.23,30.26,29.95,30.07,74800,7,2018-11-07 00:00:00
725,29.62,30.24,29.42,30.21,145400,7,2018-11-06 00:00:00
726,28.81,29.69,28.81,29.59,89000,7,2018-11-05 00:00:00
727,28.59,28.89,28.41,28.8,67900,7,2018-11-02 00:00:00
728,28.76,29.09,28.43,28.54,117100,7,2018-11-01 00:00:00
729,28.87,29.01,28.63,28.7,72900,7,2018-10-31 00:00:00
730,28.5,28.82,28.45,28.82,105900,7,2018-10-30 00:00:00
731,28.21,28.62,28.18,28.46,97700,7,2018-10-29 00:00:00
732,27.96,28.23,27.73,28.18,79600,7,2018-10-26 00:00:00
733,28.17,28.47,27.96,28.02,85200,7,2018-10-25 00:00:00
734,27.88,28.3,27.88,28.16,92300,7,2018-10-24 00:00:00
735,28,28.2,27.67,27.91,160700,7,2018-10-23 00:00:00
736,28.37,28.54,28.06,28.14,72700,7,2018-10-22 00:00:00
737,27.78,28.66,27.78,28.27,137800,7,2018-10-19 00:00:00
738,27.77,28,27.48,27.79,85200,7,2018-10-18 00:00:00
739,27.97,27.97,27.32,27.82,141100,7,2018-10-17 00:00:00
740,27.82,28.02,27.48,28.02,59100,7,2018-10-16 00:00:00
741,27.46,27.98,27.44,27.78,130400,7,2018-10-15 00:00:00
742,27.69,27.71,27.03,27.35,171300,7,2018-10-12 00:00:00
743,27.75,28.05,27.36,27.59,196900,7,2018-10-11 00:00:00
744,28,28,27.53,27.6,84800,7,2018-10-10 00:00:00
745,27.59,28.08,27.52,28.04,119700,7,2018-10-09 00:00:00
746,27.69,27.89,27.5,27.67,39000,7,2018-10-05 00:00:00
747,27.95,27.95,27.29,27.68,115900,7,2018-10-04 00:00:00
748,28.22,28.26,27.77,27.9,61100,7,2018-10-03 00:00:00
749,28.11,28.46,27.77,28.19,118900,7,2018-10-02 00:00:00
750,28.17,28.45,27.9,28.08,79200,7,2018-10-01 00:00:00
751,28.4,28.46,28.03,28.12,120800,7,2018-09-28 00:00:00
752,28.65,28.69,28.37,28.42,71300,7,2018-09-27 00:00:00
753,29.08,29.14,28.51,28.98,193800,7,2018-09-26 00:00:00
754,29.43,29.44,28.84,29.1,67600,7,2018-09-25 00:00:00
755,29.16,29.43,29.14,29.43,73700,7,2018-09-24 00:00:00
756,29.08,29.34,29.01,29.22,180100,7,2018-09-21 00:00:00
