id,open_price,high_price,low_price,close_price,volume,stock_id,observation_date
501,21,21.02,20.32,20.43,2973,5,2018-12-10 00:00:00
502,21.75,21.75,20.8,21,6800,5,2018-12-07 00:00:00
503,22,22.04,21.63,21.63,7200,5,2018-12-06 00:00:00
504,22,22.25,22,22.17,7100,5,2018-12-05 00:00:00
505,22.38,22.38,22,22,7500,5,2018-12-04 00:00:00
506,22.1,22.37,22.01,22.37,6200,5,2018-12-03 00:00:00
507,22.15,22.18,22,22.18,7900,5,2018-11-30 00:00:00
508,21.99,22.18,21.88,22.01,10100,5,2018-11-29 00:00:00
509,21.83,22.08,21.83,22,23400,5,2018-11-28 00:00:00
510,22.02,22.1,21.82,21.95,1600,5,2018-11-27 00:00:00
511,22.15,22.22,22,22.19,6800,5,2018-11-26 00:00:00
512,21.94,22,21.7,21.7,1800,5,2018-11-23 00:00:00
513,21.83,22.21,21.8,22.03,1500,5,2018-11-22 00:00:00
514,22.02,22.54,21.75,21.79,16000,5,2018-11-21 00:00:00
515,21,23.28,20.8,22,25600,5,2018-11-20 00:00:00
516,22.87,24.11,22.85,22.91,5000,5,2018-11-19 00:00:00
517,24.01,24.65,23.4,23.4,7600,5,2018-11-16 00:00:00
518,24.69,24.75,24.28,24.28,5500,5,2018-11-15 00:00:00
519,25.38,25.38,24.67,24.75,9400,5,2018-11-14 00:00:00
520,24.04,25.15,24.04,25.1,11400,5,2018-11-13 00:00:00
521,26,26.03,24.1,24.42,12000,5,2018-11-12 00:00:00
522,26.88,26.89,26.02,26.24,19600,5,2018-11-09 00:00:00
523,26.06,26.48,26.06,26.26,5800,5,2018-11-08 00:00:00
524,25,27.75,25,26.9,20600,5,2018-11-07 00:00:00
525,25.57,25.57,23.58,24.75,7500,5,2018-11-06 00:00:00
526,24.1,25.38,24,25.38,7000,5,2018-11-05 00:00:00
527,24.72,24.73,24.11,24.25,3000,5,2018-11-02 00:00:00
528,24.28,24.68,24.26,24.58,1800,5,2018-11-01 00:00:00
529,23.99,24.41,23.99,24.41,1700,5,2018-10-31 00:00:00
530,23.07,23.9,23.07,23.9,4600,5,2018-10-30 00:00:00
531,23.52,23.68,23.25,23.25,5000,5,2018-10-29 00:00:00
532,25.27,25.27,22.93,23.38,26400,5,2018-10-26 00:00:00
533,24.6,25,24.55,25,7600,5,2018-10-25 00:00:00
534,23.25,24.48,23.24,24.2,11300,5,2018-10-24 00:00:00
535,23.42,23.42,23.1,23.25,6500,5,2018-10-23 00:00:00
536,23.48,23.48,23.05,23.48,8200,5,2018-10-22 00:00:00
